progress | sum    | lcmap  | lcoff  | lleng  | angle  | Acc    | speed

037/1110k| 0.44985| 0.16522| 0.09610| 0.05197| 0.13655| 0.00000| 24.6 
037/1110k| 0.36490| 0.15530| 0.09180| 0.04162| 0.07618| 0.00000| 24.8 
037/1110k| 0.37007| 0.14710| 0.09233| 0.04053| 0.09010| 0.00000| 24.3 
037/1110k| 0.35133| 0.14796| 0.09316| 0.03968| 0.07053| 0.00000| 24.4 
037/1110k| 0.40724| 0.16880| 0.09576| 0.05178| 0.09090| 0.00000| 24.0 
037/1110k| 0.38740| 0.15941| 0.09241| 0.05937| 0.07622| 0.00000| 24.6 
037/1110k| 0.37255| 0.15753| 0.09264| 0.04576| 0.07661| 0.00000| 24.7 
037/1110k| 0.38035| 0.15692| 0.09382| 0.05675| 0.07286| 0.00000| 24.4 
037/1110k| 0.40575| 0.16321| 0.09398| 0.05150| 0.09705| 0.00000| 24.6 
037/1110k| 0.35555| 0.14383| 0.09010| 0.03947| 0.08215| 0.00000| 24.3 
037/1111k| 0.38910| 0.15723| 0.09462| 0.04638| 0.09088| 0.00000| 23.6 
037/1111k| 0.41854| 0.16126| 0.09493| 0.04892| 0.11342| 0.00000| 24.6 
037/1111k| 0.38863| 0.15869| 0.09164| 0.04968| 0.08862| 0.00000| 24.7 
037/1111k| 0.35708| 0.14951| 0.08768| 0.04089| 0.07900| 0.00000| 24.4 
037/1111k| 0.35987| 0.14495| 0.09039| 0.04857| 0.07596| 0.00000| 23.9 
037/1111k| 0.39991| 0.16501| 0.09001| 0.05127| 0.09361| 0.00000| 24.6 
037/1111k| 0.39775| 0.16265| 0.09518| 0.05675| 0.08316| 0.00000| 24.7 
037/1111k| 0.36998| 0.15326| 0.09252| 0.03648| 0.08772| 0.00000| 24.7 
037/1111k| 0.36940| 0.14944| 0.09268| 0.03841| 0.08886| 0.00000| 24.4 
037/1111k| 0.39313| 0.16101| 0.09078| 0.04645| 0.09488| 0.00000| 24.7 
037/1111k| 0.41039| 0.17088| 0.09326| 0.05580| 0.09045| 0.00000| 24.6 
037/1111k| 0.37778| 0.14800| 0.09088| 0.04575| 0.09314| 0.00000| 24.7 
037/1111k| 0.38850| 0.15493| 0.09239| 0.05021| 0.09097| 0.00000| 24.4 
037/1111k| 0.40392| 0.16142| 0.09507| 0.05123| 0.09619| 0.00000| 24.4 
037/1112k| 0.36324| 0.14838| 0.09136| 0.04542| 0.07807| 0.00000| 24.7 
037/1112k| 0.38238| 0.15558| 0.09599| 0.04286| 0.08795| 0.00000| 24.5 
037/1112k| 0.36750| 0.15607| 0.08964| 0.04922| 0.07257| 0.00000| 24.6 
037/1112k| 0.36305| 0.14575| 0.08683| 0.04526| 0.08521| 0.00000| 24.0 
037/1112k| 0.40243| 0.16737| 0.09105| 0.05173| 0.09228| 0.00000| 24.7 
037/1112k| 0.36799| 0.15497| 0.09298| 0.04700| 0.07305| 0.00000| 24.4 
037/1112k| 0.38823| 0.15162| 0.09129| 0.04410| 0.10122| 0.00000| 24.7 
037/1112k| 0.39695| 0.16324| 0.09412| 0.04433| 0.09525| 0.00000| 24.8 
037/1112k| 0.37854| 0.14397| 0.09116| 0.04074| 0.10267| 0.00000| 24.8 
037/1112k| 0.38673| 0.16097| 0.09384| 0.04163| 0.09029| 0.00000| 24.6 
037/1112k| 0.41786| 0.15987| 0.09659| 0.05770| 0.10370| 0.00000| 24.6 
037/1112k| 0.38549| 0.15524| 0.09068| 0.04601| 0.09356| 0.00000| 24.7 
037/1112k| 0.39182| 0.16413| 0.09355| 0.05574| 0.07842| 0.00000| 24.4 
037/1112k| 0.41299| 0.16719| 0.09166| 0.05631| 0.09783| 0.00000| 24.6 
037/1113k| 0.41092| 0.15862| 0.09488| 0.05106| 0.10637| 0.00000| 24.7 
037/1113k| 0.38360| 0.16035| 0.09243| 0.04375| 0.08707| 0.00000| 24.5 
037/1113k| 0.37573| 0.15142| 0.09631| 0.04091| 0.08710| 0.00000| 24.7 
037/1113k| 0.40731| 0.16698| 0.09409| 0.04735| 0.09889| 0.00000| 24.4 
037/1113k| 0.37533| 0.15633| 0.09306| 0.05027| 0.07567| 0.00000| 24.6 
037/1113k| 0.38472| 0.15884| 0.09310| 0.04968| 0.08311| 0.00000| 23.7 
037/1113k| 0.38251| 0.15817| 0.09266| 0.04101| 0.09067| 0.00000| 24.1 
037/1113k| 0.36322| 0.13807| 0.08948| 0.03913| 0.09654| 0.00000| 24.5 
037/1113k| 0.38985| 0.15356| 0.09368| 0.04832| 0.09428| 0.00000| 24.6 
037/1113k| 0.37379| 0.14833| 0.08994| 0.04620| 0.08932| 0.00000| 24.1 
037/1113k| 0.39196| 0.16314| 0.08940| 0.04652| 0.09290| 0.00000| 24.8 
037/1113k| 0.38690| 0.15575| 0.08968| 0.04472| 0.09675| 0.00000| 24.4 
037/1113k| 0.35472| 0.15128| 0.08811| 0.04275| 0.07258| 0.00000| 24.3 
037/1113k| 0.40647| 0.15329| 0.09416| 0.04987| 0.10915| 0.00000| 23.7 
037/1114k| 0.38368| 0.16222| 0.09225| 0.04502| 0.08419| 0.00000| 24.7 
037/1114k| 0.34463| 0.14281| 0.09077| 0.04120| 0.06985| 0.00000| 24.4 
037/1114k| 0.37567| 0.14836| 0.09373| 0.04357| 0.09001| 0.00000| 24.7 
037/1114k| 0.43685| 0.16783| 0.09576| 0.05616| 0.11710| 0.00000| 24.8 
037/1114k| 0.40488| 0.15901| 0.09311| 0.04640| 0.10636| 0.00000| 24.7 
037/1114k| 0.41022| 0.15440| 0.09218| 0.05083| 0.11281| 0.00000| 24.6 
037/1114k| 0.35833| 0.15262| 0.09353| 0.04187| 0.07031| 0.00000| 24.7 
037/1114k| 0.40974| 0.15977| 0.09350| 0.05885| 0.09762| 0.00000| 24.4 
037/1114k| 0.40043| 0.16326| 0.09484| 0.05841| 0.08393| 0.00000| 24.7 
037/1114k| 0.36997| 0.15156| 0.09315| 0.04406| 0.08119| 0.00000| 24.7 
037/1114k| 0.41692| 0.16919| 0.09542| 0.04848| 0.10383| 0.00000| 24.2 
037/1114k| 0.38246| 0.17064| 0.09503| 0.05772| 0.05907| 0.00000| 24.5 
037/1114k| 0.39987| 0.15672| 0.09122| 0.04991| 0.10202| 0.00000| 24.7 
037/1114k| 0.37053| 0.14793| 0.08934| 0.04188| 0.09138| 0.00000| 24.7 
037/1115k| 0.34945| 0.14991| 0.08614| 0.04339| 0.07001| 0.00000| 24.5 
037/1115k| 0.39267| 0.15945| 0.09123| 0.04381| 0.09818| 0.00000| 24.3 
037/1115k| 0.36324| 0.14647| 0.09564| 0.04188| 0.07925| 0.00000| 24.7 
037/1115k| 0.40138| 0.16962| 0.09723| 0.05127| 0.08326| 0.00000| 24.7 
037/1115k| 0.35745| 0.14863| 0.09409| 0.04195| 0.07278| 0.00000| 24.5 
037/1115k| 0.36390| 0.14801| 0.09082| 0.04171| 0.08336| 0.00000| 24.4 
037/1115k| 0.38251| 0.14072| 0.09040| 0.04644| 0.10495| 0.00000| 24.7 
037/1115k| 0.42728| 0.17504| 0.09409| 0.06421| 0.09394| 0.00000| 24.6 
037/1115k| 0.37991| 0.14122| 0.09122| 0.04707| 0.10040| 0.00000| 24.5 
037/1115k| 0.37826| 0.15538| 0.09216| 0.04627| 0.08445| 0.00000| 24.5 
037/1115k| 0.39260| 0.16805| 0.09438| 0.05924| 0.07093| 0.00000| 24.2 
037/1115k| 0.35193| 0.15173| 0.09010| 0.04091| 0.06919| 0.00000| 24.7 
037/1115k| 0.38135| 0.15959| 0.09532| 0.04707| 0.07936| 0.00000| 24.4 
037/1116k| 0.38658| 0.14874| 0.09536| 0.04268| 0.09980| 0.00000| 24.5 
037/1116k| 0.34029| 0.14271| 0.09076| 0.04176| 0.06506| 0.00000| 24.7 
037/1116k| 0.36344| 0.15603| 0.08950| 0.03950| 0.07840| 0.00000| 24.5 
037/1116k| 0.37046| 0.16425| 0.09307| 0.04816| 0.06499| 0.00000| 24.7 
037/1116k| 0.40660| 0.16608| 0.09146| 0.05037| 0.09869| 0.00000| 24.5 
037/1116k| 0.39197| 0.16845| 0.09313| 0.05062| 0.07977| 0.00000| 24.8 
037/1116k| 0.36653| 0.15146| 0.09044| 0.04263| 0.08200| 0.00000| 24.5 
037/1116k| 0.36446| 0.15353| 0.09244| 0.04751| 0.07097| 0.00000| 24.8 
037/1116k| 0.37324| 0.15647| 0.09223| 0.04520| 0.07933| 0.00000| 24.2 
037/1116k| 0.37089| 0.15417| 0.09062| 0.05455| 0.07156| 0.00000| 24.6 
037/1116k| 0.37216| 0.15758| 0.09448| 0.04649| 0.07362| 0.00000| 24.5 
037/1116k| 0.39408| 0.16084| 0.09436| 0.05392| 0.08496| 0.00000| 24.7 
037/1116k| 0.39683| 0.15404| 0.09440| 0.05421| 0.09417| 0.00000| 24.7 
037/1116k| 0.38981| 0.16515| 0.09137| 0.04584| 0.08745| 0.00000| 24.2 
037/1117k| 0.40701| 0.16585| 0.09395| 0.05650| 0.09072| 0.00000| 24.8 
037/1117k| 0.39173| 0.15433| 0.09430| 0.04860| 0.09450| 0.00000| 24.6 
037/1117k| 0.36709| 0.15014| 0.08987| 0.04085| 0.08623| 0.00000| 23.6 
037/1117k| 0.41738| 0.16688| 0.09450| 0.05094| 0.10507| 0.00000| 24.8 
037/1117k| 0.40056| 0.15554| 0.09363| 0.04690| 0.10448| 0.00000| 24.7 
037/1117k| 0.39726| 0.16058| 0.09226| 0.05578| 0.08864| 0.00000| 24.6 
037/1117k| 0.38664| 0.15964| 0.09555| 0.05165| 0.07980| 0.00000| 24.5 
037/1117k| 0.37266| 0.15959| 0.09341| 0.04892| 0.07074| 0.00000| 23.9 
037/1117k| 0.39355| 0.15832| 0.09249| 0.04643| 0.09631| 0.00000| 24.8 
037/1117k| 0.37408| 0.15410| 0.08974| 0.04679| 0.08345| 0.00000| 24.4 
037/1117k| 0.36916| 0.15601| 0.09138| 0.04515| 0.07663| 0.00000| 24.1 
037/1117k| 0.36012| 0.15183| 0.09499| 0.04031| 0.07300| 0.00000| 24.7 
037/1117k| 0.39656| 0.15121| 0.09403| 0.05231| 0.09900| 0.00000| 24.8 
037/1117k| 0.39019| 0.15904| 0.09459| 0.04657| 0.08998| 0.00000| 24.7 
037/1118k| 0.36991| 0.15169| 0.08983| 0.05034| 0.07805| 0.00000| 24.8 
037/1118k| 0.37665| 0.16035| 0.09585| 0.04321| 0.07723| 0.00000| 24.8 
037/1118k| 0.39456| 0.16605| 0.09222| 0.04906| 0.08724| 0.00000| 24.6 
037/1118k| 0.36444| 0.14839| 0.09196| 0.04048| 0.08362| 0.00000| 24.4 
037/1118k| 0.39313| 0.16627| 0.09384| 0.06532| 0.06769| 0.00000| 24.4 
037/1118k| 0.37952| 0.15592| 0.09276| 0.04362| 0.08723| 0.00000| 24.3 
037/1118k| 0.38146| 0.15552| 0.08982| 0.04828| 0.08784| 0.00000| 23.5 
037/1118k| 0.34157| 0.15320| 0.09166| 0.04515| 0.05157| 0.00000| 24.7 
037/1118k| 0.36083| 0.15109| 0.09158| 0.04104| 0.07711| 0.00000| 24.8 
037/1118k| 0.38510| 0.16325| 0.09216| 0.05199| 0.07770| 0.00000| 24.7 
037/1118k| 0.36862| 0.14743| 0.09302| 0.04162| 0.08655| 0.00000| 24.7 
037/1118k| 0.39506| 0.15894| 0.09529| 0.05541| 0.08543| 0.00000| 24.4 
037/1118k| 0.38322| 0.16014| 0.09203| 0.04697| 0.08409| 0.00000| 24.2 
037/1118k| 0.40376| 0.17173| 0.09364| 0.03835| 0.10003| 0.00000| 24.5 
037/1119k| 0.39475| 0.15152| 0.09469| 0.04689| 0.10164| 0.00000| 24.7 
037/1119k| 0.37627| 0.16647| 0.09279| 0.03905| 0.07795| 0.00000| 24.7 
037/1119k| 0.39142| 0.14586| 0.09006| 0.05539| 0.10011| 0.00000| 24.7 
037/1119k| 0.37262| 0.16342| 0.08956| 0.04501| 0.07463| 0.00000| 23.0 
037/1119k| 0.37130| 0.15830| 0.09420| 0.05410| 0.06470| 0.00000| 24.6 
037/1119k| 0.38502| 0.16252| 0.09065| 0.04854| 0.08332| 0.00000| 24.6 
037/1119k| 0.39814| 0.16473| 0.09570| 0.04968| 0.08804| 0.00000| 24.8 
037/1119k| 0.37382| 0.15851| 0.08739| 0.04842| 0.07951| 0.00000| 24.3 
037/1119k| 0.36947| 0.14645| 0.09108| 0.04557| 0.08637| 0.00000| 24.2 
037/1119k| 0.36773| 0.14638| 0.08908| 0.04550| 0.08677| 0.00000| 24.7 
037/1119k| 0.40175| 0.15254| 0.09341| 0.04439| 0.11142| 0.00000| 24.8 
037/1119k| 0.39017| 0.16373| 0.09398| 0.04383| 0.08863| 0.00000| 24.0 
037/1119k| 0.37908| 0.14495| 0.08866| 0.04129| 0.10418| 0.00000| 24.7 
037/1119k| 0.37634| 0.15180| 0.09472| 0.04855| 0.08126| 0.00000| 24.7 
037/1120k| 0.38030| 0.14677| 0.09156| 0.04367| 0.09830| 0.00000| 23.9 
037/1120k| 0.40343| 0.17028| 0.09298| 0.03989| 0.10029| 0.00000| 24.5 
037/1120k| 0.39207| 0.15774| 0.09114| 0.04476| 0.09843| 0.00000| 24.6 
037/1120k| 0.35870| 0.14215| 0.08890| 0.04283| 0.08481| 0.00000| 24.5 
037/1120k| 0.35747| 0.15036| 0.09081| 0.04206| 0.07425| 0.00000| 24.6 
037/1120k| 0.38488| 0.15530| 0.09244| 0.04427| 0.09288| 0.00000| 24.4 
037/1120k| 0.39787| 0.14844| 0.09190| 0.04123| 0.11630| 0.00000| 24.7 
037/1120k| 0.37421| 0.15802| 0.09090| 0.04459| 0.08070| 0.00000| 24.7 
037/1120k| 0.38146| 0.14788| 0.09399| 0.04227| 0.09732| 0.00000| 24.5 
037/1120k| 0.36807| 0.16023| 0.09207| 0.03494| 0.08083| 0.00000| 24.5 
037/1120k| 0.36514| 0.17826| 0.09393| 0.04926| 0.04368| 0.00000| 24.6 
037/1120k| 0.39139| 0.15911| 0.09273| 0.04235| 0.09719| 0.00000| 24.7 
037/1120k| 0.38282| 0.14916| 0.09109| 0.04136| 0.10120| 0.00000| 23.7 
037/1120k| 0.39861| 0.15279| 0.09302| 0.04736| 0.10544| 0.00000| 23.6 
037/1121k| 0.36572| 0.15009| 0.09017| 0.04519| 0.08027| 0.00000| 24.8 
037/1121k| 0.35564| 0.14682| 0.09222| 0.03983| 0.07677| 0.00000| 24.5 
037/1121k| 0.39691| 0.14863| 0.09173| 0.05041| 0.10614| 0.00000| 24.7 
037/1121k| 0.39507| 0.16271| 0.09675| 0.05281| 0.08281| 0.00000| 24.8 
037/1121k| 0.37378| 0.15615| 0.09450| 0.04464| 0.07849| 0.00000| 24.8 
037/1121k| 0.39800| 0.15630| 0.09080| 0.04749| 0.10341| 0.00000| 24.2 
037/1121k| 0.42106| 0.16101| 0.09061| 0.05024| 0.11920| 0.00000| 23.7 
037/1121k| 0.39695| 0.15243| 0.09168| 0.03987| 0.11297| 0.00000| 24.8 
037/1121k| 0.34447| 0.14549| 0.09028| 0.04860| 0.06010| 0.00000| 24.4 
037/1121k| 0.41523| 0.15567| 0.09120| 0.05128| 0.11708| 0.00000| 24.6 
037/1121k| 0.36457| 0.16150| 0.09037| 0.04041| 0.07229| 0.00000| 24.3 
037/1121k| 0.37552| 0.13808| 0.08966| 0.04158| 0.10620| 0.00000| 24.6 
037/1121k| 0.36343| 0.13680| 0.08853| 0.03321| 0.10488| 0.00000| 24.1 
037/1121k| 0.38633| 0.15287| 0.09149| 0.04293| 0.09905| 0.00000| 24.8 
037/1122k| 0.39275| 0.15126| 0.09332| 0.05053| 0.09764| 0.00000| 24.8 
037/1122k| 0.37414| 0.14859| 0.09025| 0.04538| 0.08992| 0.00000| 24.4 
037/1122k| 0.39574| 0.15963| 0.09539| 0.05911| 0.08160| 0.00000| 24.2 
037/1122k| 0.38715| 0.15414| 0.09317| 0.04569| 0.09415| 0.00000| 24.8 
037/1122k| 0.37573| 0.15233| 0.09214| 0.04847| 0.08280| 0.00000| 24.5 
037/1122k| 0.38687| 0.14747| 0.09290| 0.05076| 0.09573| 0.00000| 24.5 
037/1122k| 0.38077| 0.16799| 0.09208| 0.06417| 0.05653| 0.00000| 24.7 
037/1122k| 0.39252| 0.16035| 0.09239| 0.04788| 0.09189| 0.00000| 24.2 
037/1122k| 0.40092| 0.16365| 0.09085| 0.05179| 0.09463| 0.00000| 24.5 
037/1122k| 0.40559| 0.15934| 0.09222| 0.04500| 0.10902| 0.00000| 24.3 
037/1122k| 0.37935| 0.16569| 0.09650| 0.04916| 0.06800| 0.00000| 24.7 
037/1122k| 0.36033| 0.14722| 0.08984| 0.04471| 0.07856| 0.00000| 24.6 
037/1122k| 0.37507| 0.15147| 0.09372| 0.04982| 0.08006| 0.00000| 24.8 
037/1122k| 0.39915| 0.14881| 0.09487| 0.04367| 0.11180| 0.00000| 24.4 
037/1123k| 0.34140| 0.13831| 0.08986| 0.03443| 0.07880| 0.00000| 24.5 
037/1123k| 0.38941| 0.15695| 0.09287| 0.05515| 0.08443| 0.00000| 24.8 
037/1123k| 0.35963| 0.16098| 0.09187| 0.04214| 0.06464| 0.00000| 24.3 
037/1123k| 0.37413| 0.16839| 0.09245| 0.04379| 0.06950| 0.00000| 24.2 
037/1123k| 0.50183| 0.21832| 0.09667| 0.06732| 0.11951| 0.00000| 24.4 
037/1123k| 0.39893| 0.15880| 0.09500| 0.05652| 0.08861| 0.00000| 23.4 
037/1123k| 0.38539| 0.15662| 0.08985| 0.04843| 0.09048| 0.00000| 24.7 
037/1123k| 0.36559| 0.15769| 0.09037| 0.04265| 0.07488| 0.00000| 24.6 
037/1123k| 0.35778| 0.14514| 0.09220| 0.04283| 0.07762| 0.00000| 24.5 
037/1123k| 0.40250| 0.17922| 0.09133| 0.05343| 0.07852| 0.00000| 24.7 
037/1123k| 0.38987| 0.16632| 0.09461| 0.04696| 0.08198| 0.00000| 24.4 
037/1123k| 0.39973| 0.14795| 0.09225| 0.05207| 0.10746| 0.00000| 24.4 
037/1123k| 0.39182| 0.15514| 0.08986| 0.04876| 0.09806| 0.00000| 24.7 
037/1123k| 0.38686| 0.16100| 0.09436| 0.05178| 0.07972| 0.00000| 23.6 
037/1124k| 0.36688| 0.14088| 0.08980| 0.04358| 0.09263| 0.00000| 24.4 
037/1124k| 0.36791| 0.14850| 0.09334| 0.04348| 0.08260| 0.00000| 24.7 
037/1124k| 0.37029| 0.14192| 0.09031| 0.04628| 0.09178| 0.00000| 24.5 
037/1124k| 0.40718| 0.17129| 0.09412| 0.05785| 0.08393| 0.00000| 24.1 
037/1124k| 0.37253| 0.15225| 0.09056| 0.04342| 0.08629| 0.00000| 23.6 
037/1124k| 0.36547| 0.14697| 0.08792| 0.04016| 0.09042| 0.00000| 24.8 
037/1124k| 0.38070| 0.15815| 0.09323| 0.04338| 0.08593| 0.00000| 24.7 
037/1124k| 0.38864| 0.16313| 0.09074| 0.04782| 0.08695| 0.00000| 24.6 
037/1124k| 0.38654| 0.15432| 0.09310| 0.04483| 0.09428| 0.00000| 24.5 
037/1124k| 0.41212| 0.15876| 0.09544| 0.05090| 0.10702| 0.00000| 24.3 
037/1124k| 0.40453| 0.15650| 0.09369| 0.05499| 0.09936| 0.00000| 24.6 
037/1124k| 0.36799| 0.15260| 0.09304| 0.04566| 0.07669| 0.00000| 24.5 
037/1124k| 0.37858| 0.15723| 0.09412| 0.04475| 0.08248| 0.00000| 24.7 
037/1125k| 0.37395| 0.15273| 0.09437| 0.04362| 0.08323| 0.00000| 24.6 
037/1125k| 0.39196| 0.17704| 0.09666| 0.05111| 0.06715| 0.00000| 24.6 
037/1125k| 0.38973| 0.15258| 0.09161| 0.05503| 0.09051| 0.00000| 24.6 
037/1125k| 0.38220| 0.15599| 0.09533| 0.04701| 0.08386| 0.00000| 24.4 
037/1125k| 0.34807| 0.14500| 0.08986| 0.04620| 0.06701| 0.00000| 24.4 
037/1125k| 0.40144| 0.16768| 0.09254| 0.05384| 0.08738| 0.00000| 23.8 
037/1125k| 0.38521| 0.15391| 0.09315| 0.05088| 0.08727| 0.00000| 24.7 
037/1125k| 0.38477| 0.15325| 0.09353| 0.05282| 0.08517| 0.00000| 24.5 
037/1125k| 0.40342| 0.16275| 0.09206| 0.05614| 0.09247| 0.00000| 24.8 
037/1125k| 0.35816| 0.13705| 0.09119| 0.03983| 0.09009| 0.00000| 24.7 
037/1125k| 0.40595| 0.16255| 0.09480| 0.04746| 0.10114| 0.00000| 24.5 
037/1125k| 0.37914| 0.15476| 0.09150| 0.04468| 0.08821| 0.00000| 24.0 
037/1125k| 0.41786| 0.18323| 0.09283| 0.04849| 0.09331| 0.00000| 24.5 
037/1125k| 0.36736| 0.14242| 0.09109| 0.03910| 0.09475| 0.00000| 24.6 
037/1126k| 0.37400| 0.15914| 0.09024| 0.04034| 0.08428| 0.00000| 24.5 
037/1126k| 0.37021| 0.15284| 0.09107| 0.04885| 0.07744| 0.00000| 24.6 
037/1126k| 0.39129| 0.15134| 0.09410| 0.04336| 0.10249| 0.00000| 24.4 
037/1126k| 0.37438| 0.15700| 0.09733| 0.04301| 0.07704| 0.00000| 24.0 
037/1126k| 0.38250| 0.15616| 0.09114| 0.04587| 0.08932| 0.00000| 24.6 
037/1126k| 0.40713| 0.15236| 0.08890| 0.03720| 0.12867| 0.00000| 24.8 
037/1126k| 0.37134| 0.15655| 0.09313| 0.05556| 0.06610| 0.00000| 24.5 
037/1126k| 0.40570| 0.16127| 0.09276| 0.05108| 0.10059| 0.00000| 23.9 
037/1126k| 0.35222| 0.14805| 0.08920| 0.04380| 0.07116| 0.00000| 24.5 
037/1126k| 0.35315| 0.14801| 0.08640| 0.03884| 0.07989| 0.00000| 24.6 
037/1126k| 0.35547| 0.14372| 0.09043| 0.03691| 0.08441| 0.00000| 23.8 
037/1126k| 0.45428| 0.20488| 0.09273| 0.06234| 0.09433| 0.00000| 24.7 
037/1126k| 0.37569| 0.15513| 0.09168| 0.05118| 0.07770| 0.00000| 24.7 
037/1126k| 0.40174| 0.16334| 0.09652| 0.04682| 0.09505| 0.00000| 24.0 
037/1127k| 0.37431| 0.15322| 0.09010| 0.03938| 0.09162| 0.00000| 24.5 
037/1127k| 0.34663| 0.14010| 0.09057| 0.03956| 0.07640| 0.00000| 24.5 
037/1127k| 0.41511| 0.17478| 0.09244| 0.06395| 0.08394| 0.00000| 24.7 
037/1127k| 0.35923| 0.15177| 0.09389| 0.03703| 0.07654| 0.00000| 24.3 
037/1127k| 0.36003| 0.14449| 0.09042| 0.03984| 0.08528| 0.00000| 24.2 
037/1127k| 0.37828| 0.14916| 0.09329| 0.04937| 0.08646| 0.00000| 24.2 
037/1127k| 0.36232| 0.14569| 0.09246| 0.04823| 0.07594| 0.00000| 24.8 
037/1127k| 0.34753| 0.14723| 0.09007| 0.04497| 0.06527| 0.00000| 24.6 
037/1127k| 0.34172| 0.13519| 0.08979| 0.03662| 0.08012| 0.00000| 24.6 
037/1127k| 0.37390| 0.14842| 0.08816| 0.03877| 0.09854| 0.00000| 24.6 
037/1127k| 0.43711| 0.18148| 0.09698| 0.07052| 0.08814| 0.00000| 24.7 
037/1127k| 0.40643| 0.15790| 0.09064| 0.04534| 0.11255| 0.00000| 24.6 
037/1127k| 0.38338| 0.15773| 0.09334| 0.04935| 0.08295| 0.00000| 24.7 
037/1127k| 0.35965| 0.14881| 0.09358| 0.04887| 0.06839| 0.00000| 24.8 
037/1128k| 0.39127| 0.15227| 0.09143| 0.04952| 0.09804| 0.00000| 24.7 
037/1128k| 0.39316| 0.15192| 0.09220| 0.04665| 0.10239| 0.00000| 24.6 
037/1128k| 0.39138| 0.16327| 0.09233| 0.05237| 0.08341| 0.00000| 24.4 
037/1128k| 0.38290| 0.14975| 0.09193| 0.04827| 0.09294| 0.00000| 24.5 
037/1128k| 0.37229| 0.15846| 0.09041| 0.04215| 0.08127| 0.00000| 24.7 
037/1128k| 0.36244| 0.15848| 0.08860| 0.03842| 0.07693| 0.00000| 24.7 
037/1128k| 0.38332| 0.15647| 0.09064| 0.04806| 0.08814| 0.00000| 24.7 
037/1128k| 0.38410| 0.14752| 0.09156| 0.04494| 0.10008| 0.00000| 24.7 
037/1128k| 0.43540| 0.15461| 0.09453| 0.05163| 0.13463| 0.00000| 24.6 
037/1128k| 0.37590| 0.15801| 0.09274| 0.04427| 0.08088| 0.00000| 23.4 
037/1128k| 0.38816| 0.14741| 0.08939| 0.04343| 0.10793| 0.00000| 24.1 
037/1128k| 0.36656| 0.15790| 0.09069| 0.04528| 0.07269| 0.00000| 24.7 
037/1128k| 0.42053| 0.16720| 0.09135| 0.05311| 0.10887| 0.00000| 24.5 
037/1128k| 0.37195| 0.16320| 0.09219| 0.04445| 0.07211| 0.00000| 24.8 
037/1129k| 0.35672| 0.15159| 0.09155| 0.03863| 0.07496| 0.00000| 24.4 
037/1129k| 0.37534| 0.15465| 0.09178| 0.04015| 0.08876| 0.00000| 24.4 
037/1129k| 0.40173| 0.14948| 0.09443| 0.04949| 0.10832| 0.00000| 24.5 
037/1129k| 0.37339| 0.15560| 0.09273| 0.04330| 0.08177| 0.00000| 24.6 
037/1129k| 0.35524| 0.15185| 0.08929| 0.04264| 0.07147| 0.00000| 23.9 
037/1129k| 0.39390| 0.16493| 0.09255| 0.04870| 0.08772| 0.00000| 24.7 
037/1129k| 0.38770| 0.16073| 0.09475| 0.04697| 0.08525| 0.00000| 24.7 
037/1129k| 0.35251| 0.14007| 0.08924| 0.04085| 0.08235| 0.00000| 24.3 
037/1129k| 0.40082| 0.16455| 0.09296| 0.04937| 0.09394| 0.00000| 24.7 
037/1129k| 0.37510| 0.15885| 0.09461| 0.04607| 0.07557| 0.00000| 24.6 
037/1129k| 0.39941| 0.15656| 0.09377| 0.05570| 0.09337| 0.00000| 24.7 
037/1129k| 0.37871| 0.14710| 0.09112| 0.04704| 0.09346| 0.00000| 24.8 
037/1129k| 0.41412| 0.15677| 0.08872| 0.04895| 0.11968| 0.00000| 24.5 
037/1129k| 0.36926| 0.16423| 0.09134| 0.04361| 0.07008| 0.00000| 24.6 
037/1130k| 0.39371| 0.15831| 0.09203| 0.04681| 0.09656| 0.00000| 24.7 
037/1130k| 0.37964| 0.15470| 0.09359| 0.04266| 0.08870| 0.00000| 24.4 
037/1130k| 0.35620| 0.14298| 0.08748| 0.03822| 0.08752| 0.00000| 24.8 
037/1130k| 0.44962| 0.19119| 0.09061| 0.06440| 0.10341| 0.00000| 24.3 
037/1130k| 0.36060| 0.15038| 0.08631| 0.03994| 0.08396| 0.00000| 23.7 
037/1130k| 0.41592| 0.16945| 0.09322| 0.05201| 0.10124| 0.00000| 24.7 
037/1130k| 0.38736| 0.15649| 0.09259| 0.05053| 0.08776| 0.00000| 24.7 
037/1130k| 0.40053| 0.14986| 0.08755| 0.04659| 0.11653| 0.00000| 24.8 
037/1130k| 0.37302| 0.15032| 0.09008| 0.04025| 0.09238| 0.00000| 23.6 
037/1130k| 0.40383| 0.16489| 0.09136| 0.05775| 0.08982| 0.00000| 24.5 
037/1130k| 0.36738| 0.15308| 0.09145| 0.04357| 0.07928| 0.00000| 24.6 
037/1130k| 0.37376| 0.15518| 0.09221| 0.04874| 0.07763| 0.00000| 24.6 
037/1130k| 0.42324| 0.17312| 0.09408| 0.05289| 0.10316| 0.00000| 24.7 
037/1130k| 0.38861| 0.15197| 0.09204| 0.04344| 0.10117| 0.00000| 24.7 
037/1131k| 0.40680| 0.15873| 0.09296| 0.04621| 0.10889| 0.00000| 24.7 
037/1131k| 0.36553| 0.15630| 0.08828| 0.04538| 0.07556| 0.00000| 24.5 
