progress | sum    | lcmap  | lcoff  | lleng  | angle  | Acc    | speed

000/0008k| 0.65241| 0.25665| 0.11395| 0.14743| 0.13439| 0.00000| 23.9 
000/0008k| 0.62040| 0.23466| 0.11361| 0.14237| 0.12975| 0.00000| 24.0 
000/0008k| 0.67477| 0.24980| 0.11498| 0.16651| 0.14348| 0.00000| 24.0 
000/0008k| 0.68471| 0.25691| 0.11543| 0.15831| 0.15405| 0.00000| 24.2 
000/0008k| 0.65440| 0.24404| 0.11460| 0.15023| 0.14553| 0.00000| 24.2 
000/0008k| 0.68503| 0.26240| 0.11636| 0.18223| 0.12404| 0.00000| 23.9 
000/0008k| 0.67213| 0.25787| 0.11254| 0.14544| 0.15628| 0.00000| 23.9 
000/0008k| 0.67097| 0.26485| 0.11335| 0.15887| 0.13391| 0.00000| 24.2 
000/0008k| 0.68589| 0.26373| 0.11675| 0.15723| 0.14818| 0.00000| 23.5 
000/0008k| 0.67989| 0.25141| 0.11128| 0.18204| 0.13515| 0.00000| 23.1 
000/0008k| 0.62100| 0.25594| 0.11195| 0.13155| 0.12157| 0.00000| 24.0 
000/0008k| 0.64589| 0.23575| 0.11190| 0.15318| 0.14507| 0.00000| 24.0 
000/0009k| 0.70195| 0.25311| 0.11682| 0.15741| 0.17461| 0.00000| 24.2 
000/0009k| 0.64095| 0.24153| 0.11478| 0.14743| 0.13721| 0.00000| 24.1 
000/0009k| 0.64494| 0.24933| 0.11656| 0.15060| 0.12846| 0.00000| 24.2 
000/0009k| 0.63500| 0.24934| 0.11532| 0.12565| 0.14468| 0.00000| 24.2 
000/0009k| 0.62666| 0.24397| 0.11371| 0.13845| 0.13054| 0.00000| 24.2 
000/0009k| 0.59116| 0.23092| 0.11432| 0.12153| 0.12439| 0.00000| 24.1 
000/0009k| 0.64089| 0.26046| 0.11514| 0.13677| 0.12852| 0.00000| 24.0 
000/0009k| 0.62440| 0.24201| 0.11084| 0.14679| 0.12475| 0.00000| 24.2 
000/0009k| 0.59262| 0.23071| 0.11213| 0.13142| 0.11837| 0.00000| 24.3 
000/0009k| 0.61358| 0.23795| 0.11172| 0.14260| 0.12131| 0.00000| 23.5 
000/0009k| 0.66910| 0.26213| 0.11192| 0.14733| 0.14771| 0.00000| 24.1 
000/0009k| 0.64435| 0.23860| 0.11049| 0.14523| 0.15003| 0.00000| 24.1 
000/0009k| 0.67028| 0.26076| 0.10988| 0.14523| 0.15441| 0.00000| 24.1 
000/0009k| 0.63692| 0.24181| 0.11034| 0.14283| 0.14194| 0.00000| 24.3 
000/0010k| 0.57210| 0.22731| 0.11123| 0.11462| 0.11893| 0.00000| 23.5 
000/0010k| 0.63110| 0.23817| 0.11406| 0.13258| 0.14629| 0.00000| 23.4 
000/0010k| 0.62999| 0.24952| 0.11244| 0.14576| 0.12227| 0.00000| 24.2 
000/0010k| 0.61166| 0.23566| 0.11266| 0.13117| 0.13217| 0.00000| 24.1 
000/0010k| 0.60570| 0.23133| 0.11043| 0.12509| 0.13884| 0.00000| 24.0 
000/0010k| 0.62022| 0.24729| 0.11311| 0.13433| 0.12549| 0.00000| 23.7 
000/0010k| 0.60040| 0.23619| 0.11236| 0.12056| 0.13128| 0.00000| 24.2 
000/0010k| 0.66428| 0.24175| 0.11104| 0.14204| 0.16944| 0.00000| 23.6 
000/0010k| 0.65419| 0.24120| 0.11349| 0.14414| 0.15535| 0.00000| 23.8 
000/0010k| 0.61038| 0.23987| 0.11213| 0.12197| 0.13641| 0.00000| 24.2 
000/0010k| 0.62335| 0.24678| 0.11220| 0.13274| 0.13164| 0.00000| 24.3 
000/0010k| 0.62650| 0.25093| 0.11260| 0.14930| 0.11368| 0.00000| 23.6 
000/0010k| 0.60670| 0.23001| 0.11064| 0.12958| 0.13646| 0.00000| 24.1 
000/0010k| 0.60770| 0.23739| 0.10974| 0.13817| 0.12241| 0.00000| 24.2 
